2022-06-27 16:57:27,355 INFO    MainThread:36536 [wandb_watch.py:watch():47] Watching
2022-06-27 16:57:27,416 INFO    MainThread:36536 [wandb_watch.py:watch():47] Watching
2022-06-27 16:57:27,542 INFO    MainThread:36536 [wandb_watch.py:watch():47] Watching
2022-06-27 16:57:27,601 INFO    MainThread:36536 [wandb_watch.py:watch():47] Watching
2022-06-27 16:57:27,689 INFO    MainThread:36536 [wandb_watch.py:watch():47] Watching
2022-06-27 16:57:27,747 INFO    MainThread:36536 [wandb_watch.py:watch():47] Watching
2022-06-27 16:57:27,823 INFO    MainThread:36536 [wandb_watch.py:watch():47] Watching
2022-06-27 16:57:27,879 INFO    MainThread:36536 [wandb_watch.py:watch():47] Watching
2022-06-27 16:57:27,964 INFO    MainThread:36536 [wandb_watch.py:watch():47] Watching
2022-06-27 16:57:28,048 INFO    MainThread:36536 [wandb_watch.py:watch():47] Watching
2022-06-27 16:57:28,119 INFO    MainThread:36536 [wandb_watch.py:watch():47] Watching
2022-06-27 16:57:28,200 INFO    MainThread:36536 [wandb_watch.py:watch():47] Watching
2022-06-27 16:57:28,253 INFO    MainThread:36536 [wandb_watch.py:watch():47] Watching
2022-06-27 16:57:28,301 INFO    MainThread:36536 [wandb_watch.py:watch():47] Watching
2022-06-27 16:57:28,379 INFO    MainThread:36536 [wandb_watch.py:watch():47] Watching
2022-06-27 16:57:28,447 INFO    MainThread:36536 [wandb_watch.py:watch():47] Watching
2022-06-27 16:57:28,467 INFO    MainThread:36536 [wandb_watch.py:watch():47] Watching
2022-06-27 16:57:28,497 INFO    MainThread:36536 [wandb_watch.py:watch():47] Watching
2022-06-27 16:57:28,529 INFO    MainThread:36536 [wandb_watch.py:watch():47] Watching
2022-06-27 16:57:28,612 INFO    MainThread:36536 [wandb_watch.py:watch():47] Watching
2022-06-27 16:57:28,695 INFO    MainThread:36536 [wandb_watch.py:watch():47] Watching
2022-06-27 16:57:28,775 INFO    MainThread:36536 [wandb_watch.py:watch():47] Watching
2022-06-27 16:57:28,855 INFO    MainThread:36536 [wandb_watch.py:watch():47] Watching
2022-06-27 16:57:28,939 INFO    MainThread:36536 [wandb_watch.py:watch():47] Watching
2022-06-27 16:57:29,069 INFO    MainThread:36536 [wandb_watch.py:watch():47] Watching
2022-06-27 16:57:29,188 INFO    MainThread:36536 [wandb_watch.py:watch():47] Watching
2022-06-27 16:57:29,287 INFO    MainThread:36536 [wandb_watch.py:watch():47] Watching
2022-06-27 16:57:29,334 INFO    MainThread:36536 [wandb_watch.py:watch():47] Watching
2022-06-27 16:57:29,409 INFO    MainThread:36536 [wandb_watch.py:watch():47] Watching
2022-06-27 16:57:29,510 INFO    MainThread:36536 [wandb_watch.py:watch():47] Watching
2022-06-27 16:57:29,622 INFO    MainThread:36536 [wandb_watch.py:watch():47] Watching
2022-06-27 16:57:29,645 INFO    MainThread:36536 [wandb_watch.py:watch():47] Watching
2022-06-27 16:57:29,691 INFO    MainThread:36536 [wandb_watch.py:watch():47] Watching
2022-06-27 16:57:29,736 INFO    MainThread:36536 [wandb_watch.py:watch():47] Watching
2022-06-27 16:57:29,813 INFO    MainThread:36536 [wandb_watch.py:watch():47] Watching
2022-06-27 16:57:29,870 INFO    MainThread:36536 [wandb_watch.py:watch():47] Watching
